Feature,camem_bert_base_embeddings,distilled_bert_base_cased,flaubert_base_cased,flaubert_base_uncased,flaubert_large_uncased,flaubert_small_cased,mbert_base_cased,mbert_base_uncased,xlmr_r_large,xlm_roberta_base,Mean Importance
Dim 354,0.015866773675762485,0.04461493582263719,0.018827715355805373,0.003538861689106533,0.03417790262172308,0.011043071161048728,9.918319719953329e-05,0.01675898203592818,0.01970549738219899,0.0005104712041884818,0.016514339414559855
Dim 656,0.022619047619047736,0.03952742123687285,0.0037677902621722943,0.0021006731946144135,0.015863295880150008,,0.019469078179696658,0.021515718562874268,0.022408376963350827,0.001066753926701571,0.01648201731394229
Dim 128,0.007870518994114593,0.0336697782963828,0.0018220973782771288,0.02058751529987775,0.01189700374531841,0.0170599250936331,0.01995915985997668,0.04529565868263479,0.003560209424083749,0.003056282722513075,0.01647781494968121
Dim 664,0.029967897271268154,0.0264760793465578,0.030174157303371037,0.01698592411260731,0.0019157303370786279,,0.003990665110851787,0.021321107784431175,0.015346858638743483,0.0020484293193717236,0.01646964991380901
Dim 463,0.019724451578384282,0.029644107351225215,0.013623595505618076,0.015220318237454282,0.006503745318352154,0.013048689138576855,0.05141773628938172,0.0043712574850299024,0.009175392670157012,0.0018520942408376923,0.016458138781501718
Dim 746,0.027356875334403553,0.028675612602100428,0.017848314606741744,0.006554467564259536,0.01651685393258444,,0.005915985997666242,0.007376497005988027,0.022617801047120453,0.015098167539267026,0.016440063958903493
Dim 260,0.013218298555377277,0.009696616102683742,0.012960674157303445,0.0023776009791921316,0.02450000000000012,0.021292134831460873,0.01717619603267216,0.0313847305389223,0.03083115183246076,0.0009358638743455497,0.016437326690441838
Dim 602,0.02948368111289474,0.013080513418903168,0.0315430711610488,0.00074510403916768,0.004368913857677958,,0.0030046674445740823,0.047529940119760576,0.005517015706806251,0.012395287958115165,0.01640757720210538
Dim 702,0.04223381487426452,0.012234539089848303,0.00594943820224728,0.005169828641370968,0.0008483146067415653,,0.03070595099183201,0.043978293413173865,0.005791884816753895,0.0004908376963350784,0.01637810025917416
Dim 929,,,,,0.022794007490636883,,,,0.009960732984293136,,0.016377370237465008
Dim 660,0.00523809523809525,0.0033080513418902984,0.01741947565543085,0.00813035495716039,0.015174157303370942,,0.024562427071178613,0.03730538922155693,0.027598167539267065,0.007997382198952838,0.016303722280767017
Dim 123,0.014660246120920347,0.04098016336056019,0.009389513108614302,0.010511015911872779,0.007730337078651772,0.018031835205992667,0.014667444574095702,0.020737275449101852,0.021996073298429328,0.00405759162303663,0.016276149573127556
Dim 667,0.036773675762439915,0.017969661610268407,0.011767790262172347,0.012760097919216807,0.017533707865168675,,0.0032497082847141047,0.036586826347305444,0.004934554973821962,0.004653141361256518,0.016247684931818242
Dim 713,0.06956126270733014,4.084014002333726e-05,0.013166666666666755,0.019990820073439594,0.0057528089887641425,,0.005040840140023304,0.013963323353293462,0.017382198952879586,0.0012958115183246079,0.016243841393416104
Dim 795,,,,,0.00926217228464426,,,,0.023174083769633546,,0.016218128027138904
Dim 954,,,,,0.003558052434456931,,,,0.02886780104712048,,0.016212926740788704
Dim 186,0.006573033707865231,0.02615519253208873,0.00301872659176026,0.00045899632802937345,0.02080149812734097,0.033509363295880286,0.018243873978996548,0.02530688622754493,0.025157068062827234,0.002833769633507844,0.01620584084858414
Dim 199,0.004114499732477223,0.01824387397899653,0.017368913857678043,0.01568390452876398,0.003679775280898882,0.0248295880149814,0.031190198366394462,0.033196107784431245,0.010700261780104664,0.0028664921465968497,0.016187361547132326
Dim 47,0.016725521669341947,0.020793465577596305,0.01903183520599268,0.005582925336597393,0.00970224719101129,0.009294007490636755,0.036499416569428254,0.025576347305389283,0.01714659685863877,0.0014136125654450272,0.016176597577007772
Dim 719,0.012295345104333945,0.013389731621937033,0.0014999999999999823,0.0032099143206854586,0.002470037453183485,,0.057345390898483145,0.03756362275449111,0.013082460732984276,0.004666230366492122,0.016169192583621175
